policyId,county,construction
119736,CLAY COUNTY,Masonry
448094,CLAY COUNTY,Masonry
206893,CLAY COUNTY,Wood
333743,CLAY COUNTY,Wood
172534,CLAY COUNTY,Wood
785275,CLAY COUNTY,Masonry
995932,CLAY COUNTY,Reinforced Concrete
223488,CLAY COUNTY,Wood
433512,CLAY COUNTY,Wood
142071,CLAY COUNTY,Masonry
253816,CLAY COUNTY,Masonry
894922,CLAY COUNTY,Wood
422834,CLAY COUNTY,Wood
582721,CLAY COUNTY,Wood
842700,CLAY COUNTY,Wood
874333,CLAY COUNTY,Wood
580146,CLAY COUNTY,Wood
456149,CLAY COUNTY,Wood
767862,CLAY COUNTY,Wood
353022,CLAY COUNTY,Wood
367814,CLAY COUNTY,Wood
671392,CLAY COUNTY,Reinforced Concrete
772887,CLAY COUNTY,Masonry
983122,CLAY COUNTY,Wood
934215,CLAY COUNTY,Wood
385951,CLAY COUNTY,Wood
716332,CLAY COUNTY,Wood
751262,CLAY COUNTY,Wood
633663,CLAY COUNTY,Wood
105851,CLAY COUNTY,Wood
710400,CLAY COUNTY,Wood
703001,CLAY COUNTY,Wood
352792,CLAY COUNTY,Masonry
717603,CLAY COUNTY,Wood
937659,SUWANNEE COUNTY,Wood
294022,SUWANNEE COUNTY,Wood
410500,SUWANNEE COUNTY,Wood
524433,SUWANNEE COUNTY,Wood
779298,SUWANNEE COUNTY,Masonry
491831,SUWANNEE COUNTY,Wood
814637,SUWANNEE COUNTY,Wood
737515,SUWANNEE COUNTY,Wood
222653,SUWANNEE COUNTY,Wood
788543,SUWANNEE COUNTY,Wood
691681,SUWANNEE COUNTY,Wood
368807,SUWANNEE COUNTY,Wood
174002,SUWANNEE COUNTY,Wood
198760,SUWANNEE COUNTY,Wood
831395,SUWANNEE COUNTY,Wood
305698,SUWANNEE COUNTY,Wood
515722,SUWANNEE COUNTY,Wood
415582,SUWANNEE COUNTY,Wood
783533,SUWANNEE COUNTY,Wood
640802,SUWANNEE COUNTY,Wood
